CZ.Name,State,Racial.Segregation,Income.Segregation,Household.Income.per.capita,Local.Tax.Rate,Local.Government.Expenditures.Per.Capita,Labor.Force.Participation.Rate,Social.Capital.Index,Fraction.Religious
Greenville,MS,0.2184724,0.0464035,23168.96,0.0173896,1800.082,0.5338187,-1.0512486,0.3727364
Jackson,TN,0.2231708,0.0647912,31754.46,0.0204128,3443.536,0.6142797,-0.25140455,0.5696638
Dyersburg,TN,0.1602823,0.0181173,26596.63,0.0168424,2161.675,0.5663184,-1.4445395,0.5043579
Lexington,TN,0.0782943,0.0106536,31852.9,0.0128521,1722.025,0.596175,-1.3984995,0.5069958
Tupelo,MS,0.1234066,0.0222542,30736.36,0.012618,1983.721,0.6274781,-0.69414314,0.6441292
Corinth,MS,0.1275759,0.0132364,28904.13,0.0128751,2221.806,0.5740742,-0.76573069,0.6183479
New Albany,MS,0.0877871,0.0108396,27596.21,0.0095283,2149.374,0.5770562,0.04714911,0.7340908
Memphis,TN,0.3596896,0.1374757,37116.07,0.0209017,2868.344,0.654258,-0.70980416,0.4248981
West Memphis,AR,0.1993571,0.0454246,25941.66,0.0145577,1539.684,0.5489974,-1.1953658,0.4759489
Bowling Green,KY,0.1225152,0.0503657,31026.39,0.0134577,1675.292,0.6483966,-0.74686056,0.5277791
Glasgow,KY,0.0709323,0.0195943,27831.47,0.0117206,1389.639,0.5858744,-0.79233194,0.4968937
Columbia,TN,0.1129679,0.0410635,32506.85,0.0177907,2531.746,0.6374894,-1.2475299,0.4717018
Nashville,TN,0.2494789,0.1029113,39832.54,0.0225166,2577.472,0.6889873,-0.39729533,0.4760194
Tullahoma,TN,0.0934113,0.0171915,32902.6,0.0162003,1833.551,0.627489,-0.71524742,0.5234745
Dickson,TN,0.0833239,0.020736,31373.98,0.0166566,2132.371,0.6034202,-0.84479362,0.5395841
Clarksville,TN,0.1333275,0.0561459,28961.91,0.016344,1702.63,0.6727977,-1.8281626,0.4802368
Huntsville,AL,0.2253229,0.0889056,37729.73,0.0145424,2946.813,0.647024,-1.0291858,0.5588424
Gadsden,AL,0.2651467,0.0310089,30841.69,0.0138159,1756.967,0.596471,-1.0239497,0.6204599
Florence,AL,0.195868,0.037123,31580.87,0.0133791,2708.267,0.5749623,-0.83364838,0.6086879
McMinnville,TN,0.0635268,0.0110214,29411.43,0.0144341,1878.804,0.6139053,-1.4120484,0.5412708
Cookeville,TN,0.083495,0.0276881,28510.27,0.0165271,1838.909,0.6036718,-1.3262552,0.5039446
Chattanooga,TN,0.3354933,0.0751186,35727.89,0.0170621,2821.395,0.6356791,-0.40881035,0.518442
Crossville,TN,0.0760119,0.0221304,29332.51,0.0193378,1364.514,0.5451012,-1.023776,0.4337966
Ellijay,GA,0.1101119,0.008562,31235.46,0.0184406,1555.961,0.5676944,-1.1899604,0.5177094
